InvoiceDate,InvoiceNumber,SalesRepNumber,CustomerNumber,ProductRevenue,ServiceRevenue,ProductCost
6/11/2014,123829,S21,C8754,21000,0,9875
6/11/2014,123830,S45,C3390,188100,0,85083
6/11/2014,123831,S54,C2523,510600,0,281158
6/11/2014,123832,S21,C5519,86200,0,49967
6/11/2014,123833,S45,C3245,800100,0,388277
6/11/2014,123834,S54,C7796,339000,0,195298
6/11/2014,123835,S21,C1654,161000,0,90761
6/11/2014,123836,S45,C6460,275500,10000,146341
6/11/2014,123837,S54,C5143,925400,0,473515
6/11/2014,123838,S21,C7868,148200,0,75700
6/11/2014,123839,S45,C3310,890200,0,468333
6/11/2014,123840,S54,C2959,986000,0,528980
6/11/2014,123841,S21,C8361,94400,0,53180
6/11/2014,123842,S45,C1842,36500,55000,20696
6/11/2014,123843,S54,C4107,599700,0,276718
6/11/2014,123844,S21,C5205,244900,0,143393
6/11/2014,123845,S45,C7745,63000,0,35102
6/11/2014,123846,S54,C1730,212600,0,117787
6/11/2014,123847,S21,C6292,974700,0,478731
6/11/2014,123848,S45,C2008,327700,0,170968
6/11/2014,123849,S54,C4096,30700,0,18056
